player_id,player_name,season,league,team,role,age,ip,g,gs,k_pct,bb_pct,hr_fb,era,fip,home_pa,road_pa,home_era,road_era,park_id,source,is_synthetic
kbo-62869,munseungwon,2020,KBO,SK,pitcher,27.0,145.0,25.0,0.0,0.1918032786885246,0.0737704918032786,0.0955882352941176,3.65,3.706896551724138,305.0,305.0,3.65,3.65,SK,kbo-official,False
kbo-61101,imchangyu,2020,KBO,LG,pitcher,27.0,147.0,27.0,0.0,0.2152886115444617,0.1014040561622464,0.0979020979020979,4.08,3.889115646258504,320.5,320.5,4.08,4.08,LG,kbo-official,False
kbo-name-kuebaseu,kuebaseu,2020,KBO,KT,pitcher,27.0,158.0,27.0,0.0,0.1646706586826347,0.0688622754491018,0.1052631578947368,4.1,4.068354430379747,334.0,334.0,4.1,4.1,KT,kbo-official,False
kbo-name-deseupaine,deseupaine,2020,KBO,KT,pitcher,27.0,207.0,35.0,0.0,0.1677704194260485,0.076158940397351,0.0772532188841201,4.33,3.863285024154589,453.0,453.0,4.33,4.33,KT,kbo-official,False
kbo-name-ganyong,ganyong,2020,KBO,KIA,pitcher,27.0,159.0,28.0,0.0,0.2008547008547008,0.0911680911680911,0.0432098765432098,4.34,3.2761006289308177,351.0,351.0,4.34,4.34,KIA,kbo-official,False
kbo-name-wilseun,wilseun,2020,KBO,LG,pitcher,27.0,144.0,25.0,0.0,0.1735668789808917,0.0621019108280254,0.0807453416149068,4.42,3.738888888888889,314.0,314.0,4.42,4.42,LG,kbo-official,False
kbo-name-raiteu,raiteu,2020,KBO,NC,pitcher,27.0,157.0,29.0,0.0,0.1795977011494252,0.0905172413793103,0.073170731707317,4.68,3.8961783439490447,348.0,348.0,4.68,4.68,NC,kbo-official,False
kbo-77637,yanghyeonjong,2020,KBO,KIA,pitcher,27.0,172.0,31.0,0.0,0.1997319034852546,0.0857908847184986,0.0722222222222222,4.7,3.553488372093024,373.0,373.0,4.7,4.7,KIA,kbo-official,False
kbo-64021,bakseung,2020,KBO,rotde,pitcher,27.0,147.0,28.0,0.0,0.1641337386018237,0.0714285714285714,0.1129943502824858,4.7,4.521768707482993,329.0,329.0,4.7,4.7,롯데,kbo-official,False
kbo-60841,bakjonghun,2020,KBO,SK,pitcher,27.0,157.0,29.0,0.0,0.1939218523878437,0.1143270622286541,0.0958904109589041,4.81,4.463057324840764,345.5,345.5,4.81,4.81,SK,kbo-official,False
kbo-name-seopoldeu,seopoldeu,2020,KBO,hanhwa,pitcher,27.0,165.0,28.0,0.0,0.1321525885558583,0.0572207084468664,0.0935960591133004,4.91,4.421212121212122,367.0,367.0,4.91,4.91,한화,kbo-official,False
